Course Number: 421, Professor: MORTAZAVI B, GPA: 3.462, A's: 52, B's: 19, C's: 5, D's: 2, E's: 2, F's: 0, Q's: 0
Course Number: 421, Professor: MORTAZAVI B (H), GPA: 3.800, A's: 4, B's: 1, C's: 0, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 421, Professor: CHASPARI T, GPA: 3.933, A's: 28, B's: 2, C's: 0, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 421, Professor: WANG Z, GPA: 3.805, A's: 33, B's: 8, C's: 0, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 421, Professor: WANG Z (H), GPA: 4.000, A's: 5, B's: 0, C's: 0, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 421, Professor: CHASPARI T, GPA: 3.792, A's: 45, B's: 6, C's: 1, D's: 1, E's: 0, F's: 0, Q's: 0
Course Number: 421, Professor: CHASPARI T (H), GPA: 4.000, A's: 5, B's: 0, C's: 0, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 430, Professor: KEYSER J (H), GPA: 3.538, A's: 10, B's: 1, C's: 1, D's: 1, E's: 0, F's: 0, Q's: 0
Course Number: 430, Professor: KEYSER J, GPA: 3.231, A's: 22, B's: 9, C's: 4, D's: 3, E's: 1, F's: 3, Q's: 0
Course Number: 430, Professor: KEYSER J (H), GPA: 3.462, A's: 8, B's: 3, C's: 2, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 430, Professor: KEYSER J, GPA: 3.097, A's: 34, B's: 9, C's: 13, D's: 3, E's: 3, F's: 1, Q's: 0
Course Number: 430, Professor: KEYSER J (H), GPA: 3.643, A's: 10, B's: 3, C's: 1, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 430, Professor: KEYSER J, GPA: 2.952, A's: 21, B's: 4, C's: 12, D's: 4, E's: 1, F's: 0, Q's: 0
Course Number: 431, Professor: WADE P, GPA: 3.550, A's: 13, B's: 6, C's: 0, D's: 1, E's: 0, F's: 0, Q's: 0
Course Number: 431, Professor: WADE P, GPA: 3.667, A's: 12, B's: 6, C's: 0, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 431, Professor: WADE P, GPA: 3.778, A's: 14, B's: 4, C's: 0, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 431, Professor: WADE P, GPA: 4.000, A's: 14, B's: 0, C's: 0, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 431, Professor: WADE P, GPA: 3.842, A's: 16, B's: 3, C's: 0, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 431, Professor: WADE P, GPA: 3.400, A's: 9, B's: 5, C's: 0, D's: 0, E's: 1, F's: 0, Q's: 0
Course Number: 431, Professor: WADE P, GPA: 3.857, A's: 12, B's: 2, C's: 0, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 431, Professor: WADE P, GPA: 3.727, A's: 16, B's: 6, C's: 0, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 431, Professor: WADE P, GPA: 3.850, A's: 17, B's: 3, C's: 0, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 431, Professor: WADE P, GPA: 3.667, A's: 17, B's: 3, C's: 0, D's: 0, E's: 1, F's: 0, Q's: 0
Course Number: 431, Professor: RITCHEY P, GPA: 3.700, A's: 22, B's: 7, C's: 1, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 431, Professor: WADE P, GPA: 3.684, A's: 15, B's: 2, C's: 2, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 431, Professor: WADE P, GPA: 3.818, A's: 18, B's: 4, C's: 0, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 431, Professor: WADE P, GPA: 3.783, A's: 19, B's: 3, C's: 1, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 431, Professor: WADE P, GPA: 3.905, A's: 19, B's: 2, C's: 0, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 431, Professor: WADE P, GPA: 3.750, A's: 13, B's: 2, C's: 1, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 431, Professor: WADE P, GPA: 3.952, A's: 20, B's: 1, C's: 0, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 431, Professor: WADE P, GPA: 3.857, A's: 19, B's: 1, C's: 1, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 431, Professor: WADE P, GPA: 3.882, A's: 15, B's: 2, C's: 0, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 431, Professor: WADE P, GPA: 3.889, A's: 16, B's: 2, C's: 0, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 431, Professor: WADE P, GPA: 3.848, A's: 28, B's: 5, C's: 0, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 431, Professor: WADE P, GPA: 3.778, A's: 22, B's: 4, C's: 1, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 431, Professor: WADE P, GPA: 3.897, A's: 35, B's: 4, C's: 0, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 431, Professor: WADE P, GPA: 3.917, A's: 34, B's: 1, C's: 1, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 431, Professor: WADE P, GPA: 3.571, A's: 8, B's: 6, C's: 0, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 431, Professor: WADE P, GPA: 3.706, A's: 26, B's: 6, C's: 2, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 431, Professor: WADE P, GPA: 3.947, A's: 36, B's: 2, C's: 0, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 431, Professor: WADE P, GPA: 3.775, A's: 32, B's: 7, C's: 1, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 431, Professor: RITCHEY P, GPA: 3.217, A's: 7, B's: 14, C's: 2, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 431, Professor: NOWAK M, GPA: 3.379, A's: 14, B's: 12, C's: 3, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 431, Professor: NOWAK M, GPA: 3.300, A's: 7, B's: 12, C's: 1, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 431, Professor: NOWAK M, GPA: 3.633, A's: 20, B's: 9, C's: 1, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 431, Professor: NOWAK M, GPA: 3.700, A's: 22, B's: 7, C's: 1, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 431, Professor: RITCHEY P, GPA: 2.794, A's: 2, B's: 26, C's: 4, D's: 1, E's: 1, F's: 0, Q's: 0
Course Number: 431, Professor: RITCHEY P, GPA: 2.848, A's: 5, B's: 20, C's: 6, D's: 2, E's: 0, F's: 0, Q's: 0
Course Number: 431, Professor: RITCHEY P, GPA: 3.030, A's: 7, B's: 20, C's: 6, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 431, Professor: RITCHEY P, GPA: 3.500, A's: 12, B's: 6, C's: 2, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 431, Professor: HUANG S, GPA: 3.088, A's: 16, B's: 8, C's: 7, D's: 3, E's: 0, F's: 0, Q's: 0
Course Number: 431, Professor: HUANG S, GPA: 3.188, A's: 9, B's: 20, C's: 3, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 431, Professor: HUANG S, GPA: 2.938, A's: 8, B's: 16, C's: 6, D's: 2, E's: 0, F's: 0, Q's: 0
Course Number: 431, Professor: RITCHEY P, GPA: 3.867, A's: 13, B's: 2, C's: 0, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 431, Professor: RITCHEY P, GPA: 3.286, A's: 14, B's: 10, C's: 2, D's: 2, E's: 0, F's: 0, Q's: 0
Course Number: 431, Professor: RITCHEY P, GPA: 2.962, A's: 12, B's: 6, C's: 4, D's: 3, E's: 1, F's: 0, Q's: 0
Course Number: 431, Professor: RITCHEY P, GPA: 3.400, A's: 15, B's: 12, C's: 3, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 431, Professor: HUANG S, GPA: 3.455, A's: 22, B's: 6, C's: 3, D's: 2, E's: 0, F's: 0, Q's: 0
Course Number: 431, Professor: HUANG S, GPA: 3.577, A's: 16, B's: 9, C's: 1, D's: 0, E's: 0, F's: 0, Q's: 0
Course Number: 431, Professor: HUANG S, GPA: 2.974, A's: 7, B's: 25, C's: 4, D's: 2, E's: 0, F's: 0, Q's: 0
Course Number: 431, Professor: HUANG S, GPA: 3.075, A's: 11, B's: 22, C's: 6, D's: 1, E's: 0, F's: 0, Q's: 0
Course Number: 431, Professor: WALKER D, GPA: 3.409, A's: 12, B's: 8, C's: 1, D's: 1, E's: 0, F's: 0, Q's: 0
Course Number: 431, Professor: WALKER D, GPA: 3.474, A's: 10, B's: 8, C's: 1, D's: 0, E's: 0, F's: 0, Q's: 0
